episode:116, reward: -1497.6188449112437, mean reward: -30.54, score: -1557.3721138964615, epsilon: 0.8562305008438912, total steps: 1587
episode:117, reward: 49999, mean reward: 12499.59, score: 49998.34165810072, epsilon: 0.8561230106099534, total steps: 1591
episode:118, reward: 49999, mean reward: 7142.24, score: 49995.712364200444, epsilon: 0.8559349371835642, total steps: 1598
episode:119, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8559080731333948, total steps: 1599
episode:120, reward: -425.9726716462648, mean reward: 37.59, score: 2481.1724295072704, epsilon: 0.8541370242406063, total steps: 1665
episode:121, reward: 49999, mean reward: 9997.7, score: 49988.48885003506, epsilon: 0.8540030125711823, total steps: 1670
episode:122, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8539762129174265, total steps: 1671
episode:123, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8539494141569778, total steps: 1672
episode:124, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8539226162898061, total steps: 1673
episode:125, reward: 49999, mean reward: 3124.29, score: 49988.64880647383, epsilon: 0.8534939718764557, total steps: 1689
episode:126, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8534671891904404, total steps: 1690
episode:127, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8534404073971663, total steps: 1691
episode:128, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8534136264966039, total steps: 1692
episode:129, reward: -110.78758482202454, mean reward: -3.91, score: -230.71886564266075, epsilon: 0.8518351323924683, total steps: 1751
episode:130, reward: 49999, mean reward: 16665.34, score: 49996.03498487496, epsilon: 0.8517549528882711, total steps: 1754
episode:131, reward: 49999, mean reward: 1723.13, score: 49970.88232828418, epsilon: 0.8509802975775353, total steps: 1783
episode:132, reward: 49999, mean reward: 16665.34, score: 49996.00929933036, epsilon: 0.8509002035525456, total steps: 1786
episode:133, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8508735073240334, total steps: 1787
episode:134, reward: 49999, mean reward: 1722.92, score: 49964.67871575314, epsilon: 0.8500997036656448, total steps: 1816
episode:135, reward: 49999, mean reward: 1784.57, score: 49967.97102683857, epsilon: 0.8493532923217013, total steps: 1844
episode:136, reward: 49999, mean reward: 2940.3, score: 49985.05778098185, epsilon: 0.8489004537724256, total steps: 1861
episode:137, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8488738242011286, total steps: 1862
episode:138, reward: 49999, mean reward: 5555.01, score: 49995.132804805085, epsilon: 0.8486341979995956, total steps: 1871
episode:139, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.848607577303343, total steps: 1872
episode:140, reward: 49999, mean reward: 3845.28, score: 49988.59564932231, epsilon: 0.8482615889893937, total steps: 1885
episode:141, reward: 49999, mean reward: 16665.36, score: 49996.06575365861, epsilon: 0.8481817668216696, total steps: 1888
episode:142, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8481551612062049, total steps: 1889
episode:143, reward: -14573.455074044407, mean reward: -287.18, score: -14646.044841590536, epsilon: 0.846799450113084, total steps: 1940
episode:144, reward: 49999, mean reward: 4999.13, score: 49991.31368216773, epsilon: 0.8465338945580976, total steps: 1950
episode:145, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.846507343870793, total steps: 1951
episode:146, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8464807940684964, total steps: 1952
episode:147, reward: -1217.149097220855, mean reward: -25.05, score: -1277.6938958242492, epsilon: 0.8451279269814195, total steps: 2003
episode:148, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8451014231589196, total steps: 2004
episode:149, reward: -964.8244484305046, mean reward: -20.06, score: -1023.2067008171922, epsilon: 0.843750899010327, total steps: 2055
episode:150, reward: 49999, mean reward: 8332.83, score: 49996.97863515936, epsilon: 0.8435921647044845, total steps: 2061
episode:151, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8435657120732074, total steps: 2062
episode:152, reward: 49999, mean reward: 12498.69, score: 49994.7595967373, epsilon: 0.8434599103652016, total steps: 2066
episode:153, reward: -124.81343679243108, mean reward: -3.71, score: -196.4802788355389, epsilon: 0.8420593686996315, total steps: 2119
episode:154, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8420329671607029, total steps: 2120
episode:155, reward: 49999, mean reward: 740.42, score: 49607.867319168174, epsilon: 0.840266067306623, total steps: 2187
episode:156, reward: -405.8382683028372, mean reward: 1326.28, score: 104776.202059675, epsilon: 0.8381877709538991, total steps: 2266
episode:157, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8381614984660778, total steps: 2267
episode:158, reward: 49999, mean reward: 3844.84, score: 49982.89109164609, epsilon: 0.8378200358056622, total steps: 2280
episode:159, reward: 49999, mean reward: 926.03, score: 50005.43807263696, epsilon: 0.8364032352442534, total steps: 2334
episode:160, reward: 49999, mean reward: 16665.3, score: 49995.891717239494, epsilon: 0.836324598852614, total steps: 2337
episode:161, reward: 49999, mean reward: 3570.67, score: 49989.40233399308, epsilon: 0.835957732981844, total steps: 2351
episode:162, reward: 49999, mean reward: 4165.78, score: 49989.41306674031, epsilon: 0.8356434127568871, total steps: 2363
episode:163, reward: 49999, mean reward: 16665.26, score: 49995.79452031939, epsilon: 0.8355648523436976, total steps: 2366
episode:164, reward: 49999, mean reward: 16665.32, score: 49995.951221923984, epsilon: 0.8354862997861566, total steps: 2369
episode:165, reward: 49999, mean reward: 9998.85, score: 49994.26139243208, epsilon: 0.8353553963117848, total steps: 2374
episode:166, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.835329218234878, total steps: 2375
episode:167, reward: 49999, mean reward: 3332.14, score: 49982.12311687968, epsilon: 0.8349366517755539, total steps: 2390
episode:168, reward: 49999, mean reward: 5554.15, score: 49987.32944384805, epsilon: 0.8347012060986386, total steps: 2399
episode:169, reward: 49999, mean reward: 16665.34, score: 49996.02096822103, epsilon: 0.834622739901404, total steps: 2402
episode:170, reward: 49999, mean reward: 12499.55, score: 49998.19278550856, epsilon: 0.8345181305101983, total steps: 2406
episode:171, reward: -3904.993629667913, mean reward: -77.9, score: -3972.7241699073174, epsilon: 0.8331855826749128, total steps: 2457
episode:172, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8331594769239219, total steps: 2458
episode:173, reward: 49999, mean reward: 7141.74, score: 49992.15309182958, epsilon: 0.8329767610303229, total steps: 2465
episode:174, reward: 49999, mean reward: 9999.51, score: 49997.55650709887, epsilon: 0.8328462757775575, total steps: 2470
episode:175, reward: 49999, mean reward: 16665.32, score: 49995.950097252244, epsilon: 0.8327679950640807, total steps: 2473
episode:176, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8327419032324449, total steps: 2474
episode:177, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8327158122705223, total steps: 2475
episode:178, reward: 49999, mean reward: 7142.16, score: 49995.14691218774, epsilon: 0.8325331998865991, total steps: 2482
episode:179, reward: 49999, mean reward: 12499.36, score: 49997.431522805884, epsilon: 0.8324288690821557, total steps: 2486
episode:180, reward: -6904.175067131549, mean reward: -136.73, score: -6973.464845691115, epsilon: 0.8310998699740253, total steps: 2537
episode:181, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8310738337456324, total steps: 2538
episode:182, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8310477983850993, total steps: 2539
episode:183, reward: 49999, mean reward: 6248.88, score: 49991.046752385664, epsilon: 0.8308395467403167, total steps: 2547
episode:184, reward: 49999, mean reward: 8332.15, score: 49992.91551367612, epsilon: 0.8306833944467185, total steps: 2553
episode:185, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8306573721006117, total steps: 2554
episode:186, reward: 49999, mean reward: 4544.56, score: 49990.203451841284, epsilon: 0.8303711835352848, total steps: 2565
episode:187, reward: -161.85506795862545, mean reward: 16.86, score: 1078.844210448331, epsilon: 0.8287081661929561, total steps: 2629
episode:188, reward: 49999, mean reward: 16665.32, score: 49995.95064909226, epsilon: 0.8286302992697478, total steps: 2632
episode:189, reward: 49999, mean reward: 16665.34, score: 49996.0295078082, epsilon: 0.8285524401328426, total steps: 2635
episode:190, reward: 49999, mean reward: 9998.73, score: 49993.662567823645, epsilon: 0.8284226922054481, total steps: 2640
episode:191, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8283967452148268, total steps: 2641
episode:192, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8283707990890908, total steps: 2642
